naselje,obcina,regija
BUKOVSKI VRH,TOLMIN,GORIŠKA
BUKOVŠČICA,ŠKOFJA LOKA,GORENJSKA
BUKOVŽLAK,CELJE,SAVINJSKA
BUKOŠEK,BREŽICE,POSAVSKA
BUNČANI,VERŽEJ,POMURSKA
BUTAJNOVA,DOBROVA - POLHOV GRADEC,OSREDNJESLOVENSKA
BUTARI,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
BUTORAJ,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
BUČ,KAMNIK,OSREDNJESLOVENSKA
BUČE,KOZJE,SAVINJSKA
BUČERCA,KRŠKO,POSAVSKA
BUČEČOVCI,KRIŽEVCI,POMURSKA
BUČKA,ŠKOCJAN,JUGOVZHODNA SLOVENIJA
BUČKOVCI,LJUTOMER,POMURSKA
BUŠEČA VAS,BREŽICE,POSAVSKA
BUŠINEC,DOLENJSKE TOPLICE,JUGOVZHODNA SLOVENIJA
BUŠINJA VAS,METLIKA,JUGOVZHODNA SLOVENIJA
CAJNARJE,CERKNICA,PRIMORSKO-NOTRANJSKA
CANKOVA,CANKOVA,POMURSKA
CEGELNICA,NAKLO,GORENJSKA
CEGLO,BRDA,GORIŠKA
CELESTRINA,MARIBOR,PODRAVSKA
CELINE,KRŠKO,POSAVSKA
CELJE,CELJE,SAVINJSKA
CENKOVA,CERKVENJAK,PODRAVSKA
CENTA,VELIKE LAŠČE,OSREDNJESLOVENSKA
CEPKI,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
CEREJ/CEREI,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
CERINA,BREŽICE,POSAVSKA
CERKLJANSKA DOBRAVA,CERKLJE NA GORENJSKEM,GORENJSKA
CERKLJANSKI VRH,CERKNO,GORIŠKA
CERKLJE NA GORENJSKEM,CERKLJE NA GORENJSKEM,GORENJSKA
CERKLJE OB KRKI,BREŽICE,POSAVSKA
CERKNICA,CERKNICA,PRIMORSKO-NOTRANJSKA
CERKNO,CERKNO,GORIŠKA
CERKVENJAK,CERKVENJAK,PODRAVSKA
CERKVIŠČE,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
CEROV LOG,ŠENTJERNEJ,JUGOVZHODNA SLOVENIJA
CEROVEC,DOLENJSKE TOPLICE,JUGOVZHODNA SLOVENIJA
CEROVEC,SEVNICA,POSAVSKA
CEROVEC,ŠENTJUR,SAVINJSKA
CEROVEC POD BOČEM,ROGAŠKA SLATINA,SAVINJSKA
CEROVEC PRI TREBELNEM,MOKRONOG - TREBELNO,JUGOVZHODNA SLOVENIJA
CEROVEC PRI ČREŠNJEVCU,SEMIČ,JUGOVZHODNA SLOVENIJA
CEROVEC PRI ŠMARJU,ŠMARJE PRI JELŠAH,SAVINJSKA
CEROVEC STANKA VRAZA,ORMOŽ,PODRAVSKA
CEROVICA,ŠMARTNO PRI LITIJI,OSREDNJESLOVENSKA
CEROVO,GROSUPLJE,OSREDNJESLOVENSKA
CERŠAK,ŠENTILJ,PODRAVSKA
CESTA,AJDOVŠČINA,GORIŠKA
CESTA,DOBREPOLJE,OSREDNJESLOVENSKA
CESTA,KRŠKO,POSAVSKA
CESTA,TREBNJE,JUGOVZHODNA SLOVENIJA
CESTE,ROGAŠKA SLATINA,SAVINJSKA
CETORE,IZOLA/ISOLA,OBALNO-KRAŠKA
CEZANJEVCI,LJUTOMER,POMURSKA
CEZLAK,SLOVENSKA BISTRICA,PODRAVSKA
CIGLENCE,DUPLEK,PODRAVSKA
CIGONCA,SLOVENSKA BISTRICA,PODRAVSKA
CIKAVA,GROSUPLJE,OSREDNJESLOVENSKA
CIKAVA,MOKRONOG - TREBELNO,JUGOVZHODNA SLOVENIJA
CIRINGA,KUNGOTA,PODRAVSKA
CIRJE,KRŠKO,POSAVSKA
CIRKNICA,ŠENTILJ,PODRAVSKA
CIRKOVCE,KIDRIČEVO,PODRAVSKA
CIRKULANE,CIRKULANE,PODRAVSKA
CIRKUŠE,LITIJA,ZASAVSKA
CIRKUŠE V TUHINJU,KAMNIK,OSREDNJESLOVENSKA
CIRNIK,BREŽICE,POSAVSKA
CIRNIK,MIRNA,JUGOVZHODNA SLOVENIJA
CMEREŠKA GORCA,PODČETRTEK,SAVINJSKA
COGETINCI,CERKVENJAK,PODRAVSKA
COL,AJDOVŠČINA,GORIŠKA
COLJAVA,KOMEN,OBALNO-KRAŠKA
COLNARJI,KOSTEL,JUGOVZHODNA SLOVENIJA
CRNGROB,ŠKOFJA LOKA,GORENJSKA
CUBER,LJUTOMER,POMURSKA
CUNDROVEC,BREŽICE,POSAVSKA
CUNKOVCI,GORIŠNICA,PODRAVSKA
CURNOVEC,BREŽICE,POSAVSKA
CURNOVEC,LAŠKO,SAVINJSKA
CVEN,LJUTOMER,POMURSKA
CVETKOVCI,ORMOŽ,PODRAVSKA
CVIŠLERJI,KOČEVJE,JUGOVZHODNA SLOVENIJA
DABER,TOLMIN,GORIŠKA
DALCE,KRŠKO,POSAVSKA
DALJNI VRH,NOVO MESTO,JUGOVZHODNA SLOVENIJA
DALNJE NJIVE,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
DAMELJ,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
DANE,LOŠKA DOLINA,PRIMORSKO-NOTRANJSKA
DANE,RIBNICA,JUGOVZHODNA SLOVENIJA
DANE PRI DIVAČI,DIVAČA,OBALNO-KRAŠKA
DANE PRI SEŽANI,SEŽANA,OBALNO-KRAŠKA
DANKOVCI,PUCONCI,POMURSKA
DAVČA,ŽELEZNIKI,GORENJSKA
DEBENEC,MIRNA,JUGOVZHODNA SLOVENIJA
DEBENI,GORENJA VAS - POLJANE,GORENJSKA
DEBEČE,IVANČNA GORICA,OSREDNJESLOVENSKA
DEBRO,LAŠKO,SAVINJSKA
DEDNA GORA,SEVNICA,POSAVSKA
DEDNI DOL,IVANČNA GORICA,OSREDNJESLOVENSKA
DEDNI VRH,KRŠKO,POSAVSKA
DEDNI VRH PRI VOJNIKU,VOJNIK,SAVINJSKA
DEDNIK,VELIKE LAŠČE,OSREDNJESLOVENSKA
DEDNJA VAS,BREŽICE,POSAVSKA
DEKANI,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
DEKMANCA,BISTRICA OB SOTLI,POSAVSKA
DELAČ,KOSTEL,JUGOVZHODNA SLOVENIJA
DELNICE,GORENJA VAS - POLJANE,GORENJSKA
DEPALA VAS,DOMŽALE,OSREDNJESLOVENSKA
DESENCI,DESTRNIK,PODRAVSKA
DESINEC,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
DESKLE,KANAL,GORIŠKA
DESKOVA VAS,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
DESNJAK,LJUTOMER,POMURSKA
DESTRNIK,DESTRNIK,PODRAVSKA
DEVINA,SLOVENSKA BISTRICA,PODRAVSKA
DEČINA,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
DEČJA VAS,TREBNJE,JUGOVZHODNA SLOVENIJA
DEČJA VAS PRI ZAGRADCU,IVANČNA GORICA,OSREDNJESLOVENSKA
DEČNO SELO,BREŽICE,POSAVSKA
DEŠEN,MORAVČE,OSREDNJESLOVENSKA
DEŠEČA VAS,ŽUŽEMBERK,JUGOVZHODNA SLOVENIJA
DEŽNO PRI MAKOLAH,MAKOLE,PODRAVSKA
DEŽNO PRI PODLEHNIKU,PODLEHNIK,PODRAVSKA
DILCE,POSTOJNA,PRIMORSKO-NOTRANJSKA
DILICI,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
DIVAČA,DIVAČA,OBALNO-KRAŠKA
DIVČI,KOMEN,OBALNO-KRAŠKA
DOB,DOMŽALE,OSREDNJESLOVENSKA
DOB PRI ŠENTVIDU,IVANČNA GORICA,OSREDNJESLOVENSKA
DOBE,KOSTANJEVICA NA KRKI,POSAVSKA
DOBEC,CERKNICA,PRIMORSKO-NOTRANJSKA
DOBENO,BREŽICE,POSAVSKA
DOBENO,MENGEŠ,OSREDNJESLOVENSKA
DOBINDOL,DOLENJSKE TOPLICE,JUGOVZHODNA SLOVENIJA
DOBJA VAS,RAVNE NA KOROŠKEM,KOROŠKA
DOBJE,GORENJA VAS - POLJANE,GORENJSKA
DOBJE,GROSUPLJE,OSREDNJESLOVENSKA
DOBJE,LITIJA,ZASAVSKA
DOBJE PRI LESIČNEM,ŠENTJUR,SAVINJSKA
DOBJE PRI PLANINI,DOBJE,SAVINJSKA
DOBLAR,KANAL,GORIŠKA
DOBLATINA,LAŠKO,SAVINJSKA
DOBLETINA,NAZARJE,SAVINJSKA
DOBLEŽIČE,KOZJE,SAVINJSKA
DOBLIČE,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
DOBLIČKA GORA,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
DOBOVA,BREŽICE,POSAVSKA
DOBOVEC,TRBOVLJE,ZASAVSKA
DOBOVEC PRI PONIKVI,ŠENTJUR,SAVINJSKA
DOBOVEC PRI ROGATCU,ROGATEC,SAVINJSKA
DOBOVICA,LITIJA,ZASAVSKA
DOBOVLJE,DOMŽALE,OSREDNJESLOVENSKA
DOBOVO,NOVO MESTO,JUGOVZHODNA SLOVENIJA
DOBRAVA,KRIŽEVCI,POMURSKA
DOBRAVA,ORMOŽ,PODRAVSKA
DOBRAVA,RADEČE,POSAVSKA
DOBRAVA,RADLJE OB DRAVI,KOROŠKA
DOBRAVA,TREBNJE,JUGOVZHODNA SLOVENIJA
DOBRAVA OB KRKI,KRŠKO,POSAVSKA
DOBRAVA POD RAKO,KRŠKO,POSAVSKA
DOBRAVA PRI KONJICAH,SLOVENSKE KONJICE,SAVINJSKA
DOBRAVA PRI KOSTANJEVICI,KOSTANJEVICA NA KRKI,POSAVSKA
DOBRAVA PRI STIČNI,IVANČNA GORICA,OSREDNJESLOVENSKA
DOBRAVA PRI ŠKOCJANU,ŠKOCJAN,JUGOVZHODNA SLOVENIJA
DOBRAVA/DOBRAVA PRESSO ISOLA,IZOLA/ISOLA,OBALNO-KRAŠKA
DOBRAVICA,IG,OSREDNJESLOVENSKA
DOBRAVICA,RADOVLJICA,GORENJSKA
DOBRAVICA,ŠENTJERNEJ,JUGOVZHODNA SLOVENIJA
DOBRAVICA PRI VEL. GABRU,TREBNJE,JUGOVZHODNA SLOVENIJA
DOBRAVLJE,AJDOVŠČINA,GORIŠKA
DOBRAVLJE,SEŽANA,OBALNO-KRAŠKA
DOBRAVŠCE,GORENJA VAS - POLJANE,GORENJSKA
DOBRIJE,RAVNE NA KOROŠKEM,KOROŠKA
DOBRINA,ŠENTJUR,SAVINJSKA
DOBRINA,ŽETALE,PODRAVSKA
DOBRIČ,POLZELA,SAVINJSKA
DOBRIŠA VAS,ŽALEC,SAVINJSKA
DOBRIŠKA VAS,OPLOTNICA,PODRAVSKA
DOBRLJEVO,ZAGORJE OB SAVI,ZASAVSKA
DOBRNA,DOBRNA,SAVINJSKA
DOBRNEŽ,SLOVENSKE KONJICE,SAVINJSKA
DOBRNIČ,TREBNJE,JUGOVZHODNA SLOVENIJA
DOBRO POLJE,RADOVLJICA,GORENJSKA
DOBROPOLJE,ILIRSKA BISTRICA,PRIMORSKO-NOTRANJSKA
DOBROVA,CELJE,SAVINJSKA
DOBROVA,DOBROVA - POLHOV GRADEC,OSREDNJESLOVENSKA
DOBROVA,KRŠKO,POSAVSKA
DOBROVA PRI DRAVOGRADU,DRAVOGRAD,KOROŠKA
DOBROVA PRI PRIHOVI,OPLOTNICA,PODRAVSKA
DOBROVCE,MIKLAVŽ NA DRAVSKEM POLJU,PODRAVSKA
DOBROVLJE,BRASLOVČE,SAVINJSKA
DOBROVLJE,ZREČE,SAVINJSKA
DOBROVLJE PRI MOZIRJU,MOZIRJE,SAVINJSKA
DOBROVNIK/DOBRONAK,DOBROVNIK/DOBRONAK,POMURSKA
DOBROVO,BRDA,GORIŠKA
DOBROVŠČAK,ORMOŽ,PODRAVSKA
DOBRUŠA,VODICE,OSREDNJESLOVENSKA
DOBRUŠKA VAS,ŠKOCJAN,JUGOVZHODNA SLOVENIJA
DOGOŠE,MARIBOR,PODRAVSKA
DOKLECE,MAJŠPERK,PODRAVSKA
DOKLEŽOVJE,BELTINCI,POMURSKA
DOL,GORNJI GRAD,SAVINJSKA
DOL,KOČEVJE,JUGOVZHODNA SLOVENIJA
DOL,KRŠKO,POSAVSKA
DOL,MEDVODE,OSREDNJESLOVENSKA
DOL POD GOJKO,VOJNIK,SAVINJSKA
DOL PRI BOROVNICI,BOROVNICA,OSREDNJESLOVENSKA
DOL PRI HRASTNIKU,HRASTNIK,ZASAVSKA
DOL PRI HRASTOVLJAH,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
DOL PRI LAŠKEM,LAŠKO,SAVINJSKA
DOL PRI LJUBLJANI,DOL PRI LJUBLJANI,OSREDNJESLOVENSKA
DOL PRI PRISTAVI,ŠMARJE PRI JELŠAH,SAVINJSKA
DOL PRI STOPERCAH,MAJŠPERK,PODRAVSKA
DOL PRI TREBNJEM,TREBNJE,JUGOVZHODNA SLOVENIJA
DOL PRI VOGLJAH,SEŽANA,OBALNO-KRAŠKA
DOL PRI ŠMARJETI,ŠMARJEŠKE TOPLICE,JUGOVZHODNA SLOVENIJA
DOL PRI ŠMARJU,ŠMARJE PRI JELŠAH,SAVINJSKA
DOL-SUHA,REČICA OB SAVINJI,SAVINJSKA
DOLANCI,KOMEN,OBALNO-KRAŠKA
DOLANE,CIRKULANE,PODRAVSKA
DOLE,IDRIJA,GORIŠKA
DOLE,METLIKA,JUGOVZHODNA SLOVENIJA
DOLE,ŠENTJUR,SAVINJSKA
DOLE POD SV. TROJICO,MORAVČE,OSREDNJESLOVENSKA
DOLE PRI KRAŠCAH,MORAVČE,OSREDNJESLOVENSKA
DOLE PRI LITIJI,LITIJA,ZASAVSKA
DOLE PRI POLICI,GROSUPLJE,OSREDNJESLOVENSKA
DOLE PRI ŠKOFLJICI,ŠKOFLJICA,OSREDNJESLOVENSKA
DOLENA,VIDEM,PODRAVSKA
DOLENCI,ŠALOVCI,POMURSKA
DOLENJA BREZOVICA,BREZOVICA,OSREDNJESLOVENSKA
DOLENJA BREZOVICA,ŠENTJERNEJ,JUGOVZHODNA SLOVENIJA
DOLENJA DOBRAVA,GORENJA VAS - POLJANE,GORENJSKA
DOLENJA DOBRAVA,TREBNJE,JUGOVZHODNA SLOVENIJA
DOLENJA LEPA VAS,KRŠKO,POSAVSKA
DOLENJA NEMŠKA VAS,TREBNJE,JUGOVZHODNA SLOVENIJA
DOLENJA PIROŠICA,BREŽICE,POSAVSKA
DOLENJA PODGORA,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
DOLENJA RAVAN,GORENJA VAS - POLJANE,GORENJSKA
DOLENJA STARA VAS,ŠENTJERNEJ,JUGOVZHODNA SLOVENIJA
DOLENJA TREBUŠA,TOLMIN,GORIŠKA
DOLENJA VAS,CERKNICA,PRIMORSKO-NOTRANJSKA
DOLENJA VAS,DIVAČA,OBALNO-KRAŠKA
DOLENJA VAS,NOVO MESTO,JUGOVZHODNA SLOVENIJA
DOLENJA VAS,PREBOLD,SAVINJSKA
DOLENJA VAS,RIBNICA,JUGOVZHODNA SLOVENIJA
DOLENJA VAS,ZAGORJE OB SAVI,ZASAVSKA
DOLENJA VAS,ŽELEZNIKI,GORENJSKA
DOLENJA VAS PRI ARTIČAH,BREŽICE,POSAVSKA
DOLENJA VAS PRI KRŠKEM,KRŠKO,POSAVSKA
DOLENJA VAS PRI MIRNI PEČI,MIRNA PEČ,JUGOVZHODNA SLOVENIJA
DOLENJA VAS PRI POLHOVEM GRADCU,DOBROVA - POLHOV GRADEC,OSREDNJESLOVENSKA
DOLENJA VAS PRI POLICI,GROSUPLJE,OSREDNJESLOVENSKA
DOLENJA VAS PRI RAKI,KRŠKO,POSAVSKA
DOLENJA VAS PRI TEMENICI,IVANČNA GORICA,OSREDNJESLOVENSKA
DOLENJA VAS PRI ČATEŽU,TREBNJE,JUGOVZHODNA SLOVENIJA
DOLENJA VAS PRI ČRNOMLJU,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
DOLENJA ŽAGA,KOSTEL,JUGOVZHODNA SLOVENIJA
DOLENJA ŽETINA,GORENJA VAS - POLJANE,GORENJSKA
DOLENJCI,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
DOLENJE,AJDOVŠČINA,GORIŠKA
DOLENJE,DOMŽALE,OSREDNJESLOVENSKA
DOLENJE,SEŽANA,OBALNO-KRAŠKA
DOLENJE BRDO,GORENJA VAS - POLJANE,GORENJSKA
DOLENJE DOLE,ŠKOCJAN,JUGOVZHODNA SLOVENIJA
DOLENJE GRADIŠČE,DOLENJSKE TOPLICE,JUGOVZHODNA SLOVENIJA
DOLENJE GRADIŠČE PRI ŠENTJ.,ŠENTJERNEJ,JUGOVZHODNA SLOVENIJA
DOLENJE GRČEVJE,NOVO MESTO,JUGOVZHODNA SLOVENIJA
DOLENJE JESENICE,ŠENTRUPERT,JUGOVZHODNA SLOVENIJA
DOLENJE JEZERO,CERKNICA,PRIMORSKO-NOTRANJSKA
DOLENJE KALIŠČE,VELIKE LAŠČE,OSREDNJESLOVENSKA
DOLENJE KAMENJE,NOVO MESTO,JUGOVZHODNA SLOVENIJA
DOLENJE KAMENJE PRI DOBRNIČU,TREBNJE,JUGOVZHODNA SLOVENIJA
DOLENJE KARTELJEVO,NOVO MESTO,JUGOVZHODNA SLOVENIJA
DOLENJE KRONOVO,ŠMARJEŠKE TOPLICE,JUGOVZHODNA SLOVENIJA
DOLENJE LAKNICE,MOKRONOG - TREBELNO,JUGOVZHODNA SLOVENIJA
DOLENJE LAKOVNICE,NOVO MESTO,JUGOVZHODNA SLOVENIJA
DOLENJE MEDVEDJE SELO,TREBNJE,JUGOVZHODNA SLOVENIJA
DOLENJE MOKRO POLJE,ŠENTJERNEJ,JUGOVZHODNA SLOVENIJA
DOLENJE NEKOVO,KANAL,GORIŠKA
DOLENJE OTAVE,CERKNICA,PRIMORSKO-NOTRANJSKA
DOLENJE PODPOLJANE,RIBNICA,JUGOVZHODNA SLOVENIJA
DOLENJE POLJANE,LOŠKA DOLINA,PRIMORSKO-NOTRANJSKA
DOLENJE POLJE,DOLENJSKE TOPLICE,JUGOVZHODNA SLOVENIJA
DOLENJE PONIKVE,TREBNJE,JUGOVZHODNA SLOVENIJA
DOLENJE PRI JELŠANAH,ILIRSKA BISTRICA,PRIMORSKO-NOTRANJSKA
DOLENJE RADULJE,ŠKOCJAN,JUGOVZHODNA SLOVENIJA
DOLENJE SELCE,TREBNJE,JUGOVZHODNA SLOVENIJA
DOLENJE SKOPICE,BREŽICE,POSAVSKA
DOLENJE SUŠICE,DOLENJSKE TOPLICE,JUGOVZHODNA SLOVENIJA
DOLENJE VRHPOLJE,ŠENTJERNEJ,JUGOVZHODNA SLOVENIJA
DOLENJE ZABUKOVJE,MOKRONOG - TREBELNO,JUGOVZHODNA SLOVENIJA
DOLENJI BOŠTANJ,SEVNICA,POSAVSKA
DOLENJI GLOBODOL,MIRNA PEČ,JUGOVZHODNA SLOVENIJA
DOLENJI LAZI,RIBNICA,JUGOVZHODNA SLOVENIJA
DOLENJI LESKOVEC,KRŠKO,POSAVSKA
DOLENJI MAHAROVEC,ŠENTJERNEJ,JUGOVZHODNA SLOVENIJA
DOLENJI NOVAKI,CERKNO,GORIŠKA
DOLENJI PODBORŠT,MIRNA PEČ,JUGOVZHODNA SLOVENIJA
DOLENJI PODBORŠT PRI TREB.,TREBNJE,JUGOVZHODNA SLOVENIJA
DOLENJI PODŠUMBERK,TREBNJE,JUGOVZHODNA SLOVENIJA
DOLENJI POTOK,KOSTEL,JUGOVZHODNA SLOVENIJA
DOLENJI RADENCI,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
DOLENJI SUHADOL,NOVO MESTO,JUGOVZHODNA SLOVENIJA
DOLENJI SUHOR PRI VINICI,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
DOLENJI VRH,TREBNJE,JUGOVZHODNA SLOVENIJA
DOLENJSKE TOPLICE,DOLENJSKE TOPLICE,JUGOVZHODNA SLOVENIJA
DOLENČICE,GORENJA VAS - POLJANE,GORENJSKA
DOLGA BRDA,PREVALJE,KOROŠKA
DOLGA GORA,ŠENTJUR,SAVINJSKA
DOLGA NJIVA PRI ŠENTLOVREN.,TREBNJE,JUGOVZHODNA SLOVENIJA
DOLGA POLJANA,AJDOVŠČINA,GORIŠKA
DOLGA RAKA,KRŠKO,POSAVSKA
DOLGA VAS,KOČEVJE,JUGOVZHODNA SLOVENIJA
DOLGA VAS/HOSSZUFALU,LENDAVA/LENDVA,POMURSKA
DOLGE NJIVE,GORENJA VAS - POLJANE,GORENJSKA
DOLGE NJIVE,LENART,PODRAVSKA
DOLGI LAZ,TOLMIN,GORIŠKA
DOLGI VRH,SLOVENSKA BISTRICA,PODRAVSKA
DOLGO BRDO,LITIJA,ZASAVSKA
DOLGO BRDO,LJUBLJANA,OSREDNJESLOVENSKA
DOLGO BRDO PRI MLINŠAH,ZAGORJE OB SAVI,ZASAVSKA
DOLGOVAŠKE GORICE/HOSSZUFALUHEGY,LENDAVA/LENDVA,POMURSKA
DOLINA,PUCONCI,POMURSKA
DOLINA,TRŽIČ,GORENJSKA
DOLINA PRI LENDAVI/VOLGYIFALU,LENDAVA/LENDVA,POMURSKA
DOLIČ,DESTRNIK,PODRAVSKA
DOLIČ,KUZMA,POMURSKA
DOLJE,TOLMIN,GORIŠKA
DOLNJA BISTRICA,ČRENŠOVCI,POMURSKA
DOLNJA BITNJA,ILIRSKA BISTRICA,PRIMORSKO-NOTRANJSKA
DOLNJA BRIGA,KOČEVJE,JUGOVZHODNA SLOVENIJA
DOLNJA KOŠANA,PIVKA,PRIMORSKO-NOTRANJSKA
DOLNJA LOKVICA,METLIKA,JUGOVZHODNA SLOVENIJA
DOLNJA PAKA,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
DOLNJA POČEHOVA,PESNICA,PODRAVSKA
DOLNJA PREKOPA,KOSTANJEVICA NA KRKI,POSAVSKA
DOLNJA STARA VAS,ŠKOCJAN,JUGOVZHODNA SLOVENIJA
DOLNJA TEŽKA VODA,NOVO MESTO,JUGOVZHODNA SLOVENIJA
DOLNJE BREZOVO,SEVNICA,POSAVSKA
DOLNJE CEROVO,BRDA,GORIŠKA
DOLNJE DOBRAVICE,METLIKA,JUGOVZHODNA SLOVENIJA
DOLNJE IMPOLJE,SEVNICA,POSAVSKA
DOLNJE LEŽEČE,DIVAČA,OBALNO-KRAŠKA
DOLNJE LOŽINE,KOČEVJE,JUGOVZHODNA SLOVENIJA
DOLNJE MRAŠEVO,STRAŽA,JUGOVZHODNA SLOVENIJA
DOLNJE ORLE,SEVNICA,POSAVSKA
DOLNJE PRAPREČE,TREBNJE,JUGOVZHODNA SLOVENIJA
DOLNJE RETJE,VELIKE LAŠČE,OSREDNJESLOVENSKA
DOLNJE VREME,DIVAČA,OBALNO-KRAŠKA
DOLNJI AJDOVEC,ŽUŽEMBERK,JUGOVZHODNA SLOVENIJA
DOLNJI KOT,ŽUŽEMBERK,JUGOVZHODNA SLOVENIJA
DOLNJI KRIŽ,ŽUŽEMBERK,JUGOVZHODNA SLOVENIJA
DOLNJI LAKOŠ/ALSOLAKOS,LENDAVA/LENDVA,POMURSKA
DOLNJI SLAVEČI,GRAD,POMURSKA
DOLNJI SUHOR PRI METLIKI,METLIKA,JUGOVZHODNA SLOVENIJA
DOLNJI VRH,ŠMARTNO PRI LITIJI,OSREDNJESLOVENSKA
DOLNJI ZEMON,ILIRSKA BISTRICA,PRIMORSKO-NOTRANJSKA
DOLSKO,DOL PRI LJUBLJANI,OSREDNJESLOVENSKA
DOLŠCE,KOSTANJEVICA NA KRKI,POSAVSKA
DOLŠČAKI,VELIKE LAŠČE,OSREDNJESLOVENSKA
DOLŽ,NOVO MESTO,JUGOVZHODNA SLOVENIJA
DOMAJINCI,CANKOVA,POMURSKA
DOMANJŠEVCI,ŠALOVCI,POMURSKA
DOMBRAVA,RENČE - VOGRSKO,GORIŠKA
DOMŽALE,DOMŽALE,OSREDNJESLOVENSKA
DONAČKA GORA,ROGATEC,SAVINJSKA
DORFARJE,ŠKOFJA LOKA,GORENJSKA
DORNAVA,DORNAVA,PODRAVSKA
DORNBERK,NOVA GORICA,GORIŠKA
DORNICE,VODICE,OSREDNJESLOVENSKA
DOROPOLJE,ŠENTJUR,SAVINJSKA
DOSLOVČE,ŽIROVNICA,GORENJSKA
DOVJE,KRANJSKA GORA,GORENJSKA
DOVŠKO,KRŠKO,POSAVSKA
DOVŽE,MISLINJA,KOROŠKA
DRAGA,IG,OSREDNJESLOVENSKA
DRAGA,LOŠKI POTOK,JUGOVZHODNA SLOVENIJA
DRAGA,NOVA GORICA,GORIŠKA
DRAGA,ŠKOFJA LOKA,GORENJSKA
DRAGA,ŠMARJEŠKE TOPLICE,JUGOVZHODNA SLOVENIJA
DRAGA,ŠTORE,SAVINJSKA
DRAGA PRI SINJEM VRHU,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
DRAGA PRI ŠENTRUPERTU,ŠENTRUPERT,JUGOVZHODNA SLOVENIJA
DRAGATUŠ,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
DRAGE,METLIKA,JUGOVZHODNA SLOVENIJA
DRAGOMELJ,DOMŽALE,OSREDNJESLOVENSKA
DRAGOMER,LOG - DRAGOMER,OSREDNJESLOVENSKA
DRAGOMILO,ŠMARJE PRI JELŠAH,SAVINJSKA
DRAGOMLJA VAS,METLIKA,JUGOVZHODNA SLOVENIJA
DRAGONJA VAS,KIDRIČEVO,PODRAVSKA
DRAGONJA/DRAGOGNA,PIRAN/PIRANO,OBALNO-KRAŠKA
DRAGOTINCI,SVETI JURIJ OB ŠČAVNICI,POMURSKA
DRAGOVANJA VAS,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
DRAGOVICA,NOVA GORICA,GORIŠKA
DRAGOVIČ,JURŠINCI,PODRAVSKA
DRAGOVŠEK,ŠMARTNO PRI LITIJI,OSREDNJESLOVENSKA
DRAGOČAJNA,MEDVODE,OSREDNJESLOVENSKA
DRAGOŠI,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
DRAGUČOVA,PESNICA,PODRAVSKA
DRAKOVCI,LJUTOMER,POMURSKA
DRAKŠL,ORMOŽ,PODRAVSKA
DRAMA,ŠENTJERNEJ,JUGOVZHODNA SLOVENIJA
DRAMLJA,BREŽICE,POSAVSKA
DRAMLJE,ŠENTJUR,SAVINJSKA
DRANKOVEC,PESNICA,PODRAVSKA
DRAVCI,VIDEM,PODRAVSKA
DRAVINJSKI VRH,VIDEM,PODRAVSKA
DRAVOGRAD,DRAVOGRAD,KOROŠKA
DRAVSKI DVOR,MIKLAVŽ NA DRAVSKEM POLJU,PODRAVSKA
DRAVČE,VUZENICA,KOROŠKA
DRAŠIČI,METLIKA,JUGOVZHODNA SLOVENIJA
DRAŠČA VAS,ŽUŽEMBERK,JUGOVZHODNA SLOVENIJA
DRAŽA VAS,SLOVENSKE KONJICE,SAVINJSKA
DRAŽEN VRH - DEL,SVETA ANA,PODRAVSKA
DRAŽENCI,HAJDINA,PODRAVSKA
DRAŽEVNIK,DOBROVA - POLHOV GRADEC,OSREDNJESLOVENSKA
DRAŽGOŠE,ŽELEZNIKI,GORENJSKA
DRAŽICA,BOROVNICA,OSREDNJESLOVENSKA
DRBETINCI,SVETI ANDRAŽ V SLOV. GORICAH,PODRAVSKA
DREN,KOSTEL,JUGOVZHODNA SLOVENIJA
DRENIK,ŠKOFLJICA,OSREDNJESLOVENSKA
DRENJE,DOLENJSKE TOPLICE,JUGOVZHODNA SLOVENIJA
